index	time	x	y	z	thing
135	1643490302297	6.929	-0.804	11.092	noname
136	1643490302308	5.331	-2.377	10.253	noname
137	1643490302318	4.912	-2.767	10.336	noname
138	1643490302329	4.774	-2.883	10.636	noname
139	1643490302338	4.591	-2.96	10.561	noname
140	1643490302347	4.666	-2.778	9.869	noname
141	1643490302358	4.969	-2.512	9.178	noname
142	1643490302368	5.253	-2.362	8.812	noname
143	1643490302377	5.459	-2.399	8.458	noname
144	1643490302387	5.52	-2.649	7.761	noname
145	1643490302397	5.288	-2.85	7.348	noname
146	1643490302407	4.916	-2.999	6.876	noname
147	1643490302417	4.75	-2.908	6.639	noname
148	1643490302427	4.872	-2.716	7.081	noname
149	1643490302437	5.186	-2.418	7.785	noname
150	1643490302447	5.522	-2.09	8.517	noname
151	1643490302458	5.728	-1.896	8.794	noname
152	1643490302467	6.027	-1.849	9.023	noname
153	1643490302476	9.377	-3.221	18.874	noname
154	1643490302486	7.383	-1.73	10.367	noname
155	1643490302496	5.641	0.29	8.632	noname
156	1643490302508	4.732	-0.399	7.456	noname
157	1643490302516	5.784	-1.171	7.177	noname
158	1643490302527	4.641	-0.254	8.721	noname
159	1643490302537	3.831	-0.552	10.187	noname
160	1643490302547	4.633	-1.236	9.876	noname
161	1643490302557	4.744	-1.535	9.043	noname
162	1643490302567	4.56	-1.656	8.738	noname
163	1643490302577	4.323	-1.641	8.674	noname
164	1643490302587	4.273	-1.49	8.635	noname
165	1643490302597	4.345	-1.191	8.717	noname
166	1643490302607	4.145	-0.952	8.573	noname
167	1643490302617	3.852	-0.715	8.499	noname
168	1643490302627	3.548	-0.496	8.666	noname
169	1643490302637	3.418	-0.472	9.226	noname
170	1643490302648	4.074	-1.402	12.975	noname
171	1643490302658	2.2	-1.857	3.878	noname
172	1643490302667	2.847	-1.738	7.874	noname
173	1643490302677	4.347	-0.737	11.135	noname
174	1643490302689	4.695	-0.866	9.594	noname
175	1643490302697	4.216	-1.825	11.207	noname
176	1643490302707	3.403	-1.602	9.075	noname
177	1643490302717	4.355	-1.104	11.688	noname
178	1643490302728	3.674	-1.525	8.089	noname
179	1643490302738	3.462	-1.342	7.138	noname
180	1643490302747	3.64	-1.089	10.141	noname
181	1643490302757	3.132	-1.038	10.819	noname
182	1643490302767	2.063	-0.965	7.857	noname
183	1643490302777	1.312	-0.878	9.725	noname
184	1643490302787	0.827	-0.75	10.335	noname
185	1643490302797	0.48	-0.806	7.548	noname
186	1643490302808	1.829	-0.712	11.975	noname
187	1643490302817	0.581	-2.736	8.381	noname
188	1643490302827	-0.091	-0.558	0.479	noname
189	1643490302838	-0.974	-0.622	-1.939	noname
190	1643490302848	-0.931	-0.898	5.41	noname
191	1643490302858	-1.182	0.499	9.216	noname
192	1643490302869	1.415	0.066	13.46	noname
193	1643490302877	1.662	-0.105	13.476	noname
194	1643490302887	0.101	0.074	6.275	noname
195	1643490302897	-0.39	-0.4	7.333	noname
196	1643490302907	0.274	-0.016	9.116	noname
197	1643490302918	0.295	-0.141	10.051	noname
198	1643490302928	0.028	-0.077	9.303	noname
199	1643490302938	0.29	-0.064	9.958	noname
200	1643490302948	0.16	-0.08	9.574	noname
201	1643490302958	0.202	-0.104	9.632	noname
202	1643490302968	0.211	-0.083	9.799	noname
203	1643490302977	0.162	-0.105	9.633	noname
204	1643490302987	0.208	-0.114	9.669	noname
205	1643490302997	0.179	-0.081	9.752	noname
206	1643490303007	0.181	-0.089	9.653	noname
207	1643490303018	0.209	-0.089	9.644	noname
208	1643490303027	0.196	-0.101	9.746	noname
209	1643490303040	0.178	-0.103	9.686	noname
210	1643490303049	0.189	-0.101	9.673	noname
211	1643490303059	0.196	-0.085	9.706	noname
212	1643490303068	0.195	-0.079	9.661	noname
213	1643490303078	0.196	-0.083	9.654	noname
214	1643490303087	0.177	-0.093	9.706	noname
215	1643490303097	0.186	-0.097	9.679	noname
216	1643490303107	0.191	-0.095	9.687	noname
217	1643490303118	0.194	-0.106	9.674	noname
218	1643490303127	0.206	-0.091	9.67	noname
219	1643490303137	0.198	-0.07	9.686	noname
220	1643490303147	0.193	-0.096	9.675	noname
221	1643490303157	0.182	-0.093	9.656	noname
222	1643490303167	0.187	-0.098	9.682	noname
223	1643490303177	0.192	-0.088	9.668	noname
224	1643490303187	0.192	-0.075	9.669	noname
225	1643490303200	0.188	-0.08	9.695	noname
226	1643490303208	0.193	-0.087	9.673	noname
227	1643490303218	0.204	-0.082	9.691	noname
228	1643490303229	0.196	-0.089	9.7	noname
229	1643490303237	0.195	-0.098	9.678	noname
230	1643490303247	0.19	-0.093	9.698	noname
231	1643490303257	0.194	-0.096	9.686	noname
232	1643490303268	0.195	-0.097	9.68	noname
233	1643490303277	0.188	-0.093	9.671	noname
234	1643490303288	0.198	-0.095	9.682	noname
235	1643490303298	0.195	-0.101	9.708	noname
236	1643490303308	0.214	-0.083	9.682	noname
237	1643490303318	0.193	-0.073	9.686	noname
238	1643490303328	0.195	-0.101	9.682	noname
239	1643490303338	0.192	-0.093	9.672	noname
240	1643490303348	0.186	-0.09	9.69	noname
241	1643490303358	0.19	-0.098	9.696	noname
242	1643490303368	0.193	-0.09	9.686	noname
243	1643490303378	0.198	-0.087	9.692	noname
244	1643490303388	0.199	-0.086	9.692	noname
245	1643490303398	0.189	-0.087	9.694	noname
246	1643490303410	0.19	-0.083	9.671	noname
247	1643490303418	0.183	-0.085	9.689	noname
248	1643490303428	0.191	-0.097	9.694	noname
249	1643490303438	0.186	-0.09	9.685	noname
250	1643490303448	0.185	-0.099	9.684	noname
251	1643490303458	0.184	-0.083	9.697	noname
252	1643490303468	0.175	-0.091	9.674	noname
253	1643490303478	0.193	-0.11	9.685	noname
254	1643490303488	0.185	-0.102	9.686	noname
255	1643490303498	0.184	-0.098	9.682	noname
256	1643490303508	0.185	-0.093	9.685	noname
257	1643490303520	0.195	-0.093	9.692	noname
258	1643490303528	0.199	-0.097	9.688	noname
259	1643490303538	0.181	-0.08	9.678	noname
260	1643490303548	0.201	-0.091	9.675	noname
261	1643490303558	0.193	-0.086	9.672	noname
262	1643490303568	0.212	-0.09	9.676	noname
263	1643490303578	0.196	-0.096	9.697	noname
264	1643490303590	0.181	-0.102	9.668	noname
265	1643490303598	0.183	-0.09	9.683	noname
266	1643490303608	0.192	-0.089	9.668	noname
267	1643490303619	0.192	-0.108	9.682	noname
268	1643490303628	0.191	-0.09	9.686	noname
269	1643490303638	0.2	-0.093	9.695	noname
270	1643490303648	0.205	-0.093	9.703	noname
271	1643490303658	0.19	-0.094	9.668	noname
272	1643490303669	0.21	-0.106	9.697	noname
273	1643490303678	0.211	-0.099	9.676	noname
274	1643490303688	0.199	-0.086	9.689	noname
275	1643490303698	0.181	-0.083	9.699	noname
276	1643490303708	0.181	-0.093	9.676	noname
277	1643490303718	0.186	-0.081	9.677	noname
278	1643490303728	0.19	-0.1	9.667	noname
279	1643490303738	0.195	-0.106	9.683	noname
280	1643490303748	0.193	-0.096	9.692	noname
281	1643490303758	0.194	-0.097	9.676	noname
282	1643490303770	0.206	-0.098	9.676	noname
283	1643490303778	0.204	-0.091	9.671	noname
284	1643490303788	0.189	-0.092	9.686	noname
285	1643490303798	0.183	-0.079	9.681	noname
286	1643490303808	0.192	-0.088	9.698	noname
287	1643490303819	0.181	-0.09	9.71	noname
288	1643490303828	0.177	-0.084	9.685	noname
289	1643490303838	0.198	-0.096	9.689	noname
290	1643490303848	0.187	-0.076	9.689	noname
291	1643490303858	0.184	-0.101	9.676	noname
292	1643490303870	0.192	-0.104	9.676	noname
293	1643490303880	0.186	-0.102	9.676	noname
294	1643490303888	0.201	-0.088	9.671	noname
295	1643490303898	0.195	-0.095	9.692	noname
296	1643490303908	0.195	-0.093	9.68	noname
297	1643490303919	0.178	-0.081	9.68	noname
298	1643490303928	0.214	-0.099	9.676	noname
299	1643490303938	0.193	-0.105	9.689	noname
300	1643490303955	0.18	-0.101	9.686	noname
301	1643490303960	0.19	-0.091	9.701	noname
302	1643490303968	0.186	-0.076	9.674	noname
303	1643490303979	0.199	-0.109	9.685	noname
304	1643490303988	0.206	-0.11	9.694	noname
305	1643490303999	0.193	-0.091	9.68	noname
306	1643490304009	0.188	-0.098	9.69	noname
307	1643490304018	0.207	-0.103	9.683	noname
308	1643490304029	0.183	-0.091	9.683	noname
309	1643490304039	0.184	-0.11	9.667	noname
310	1643490304049	0.206	-0.098	9.685	noname
311	1643490304059	0.19	-0.087	9.693	noname
312	1643490304069	0.21	-0.095	9.693	noname
